Product ID,Name,Category,Colour Palette,Pattern,Size Options,Occasion,Brand,Price,Description,Customer Reviews,Sales Target Customer
ASOS-UK-COA-SS25-00001,Casual Coat,Coats,Winter,Striped,"XS, L",Everyday,ASOS Design,16.47,"Casual Coat in Winter tone with Striped pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-HAN-SS25-00002,Stylish Handbag,Handbags,Warm,Plain,"M, L",Formal,Bimba y Lola,158.88,"Stylish Handbag in Warm tone with Plain pattern, suitable for formal occasions.",Mixed,Female
ASOS-UK-TOP-SS25-00003,Casual Tops & T-shirt,Tops & T-shirts,Summery,Plain,"XXL, L",Casual,Kat the Label,315.54,"Casual Tops & T-shirt in Summery tone with Plain pattern, suitable for casual occasions.",Positive,Male
ASOS-UK-SHO-SS25-00004,Classic Shoe,Shoes,Neutral,Striped,"L, XL, XS",Casual,Bimba y Lola,305.56,"Classic Shoe in Neutral tone with Striped pattern, suitable for casual occasions.",Positive,Male
ASOS-UK-COA-SS25-00005,Elegant Coat,Coats,Winter,Striped,"S, M",Party/Occasion Wear,TALA,48.03,"Elegant Coat in Winter tone with Striped pattern, suitable for party/occasion wear occasions.",Positive,Unisex
ASOS-UK-TOP-SS25-00006,Elegant Tops & T-shirt,Tops & T-shirts,Neutral,Floral,"L, XXL, XS",Everyday,Collusion,98.36,"Elegant Tops & T-shirt in Neutral tone with Floral pattern, suitable for everyday occasions.",Positive,Millennials
ASOS-UK-SHO-SS25-00007,Stylish Shoe,Shoes,Winter,Striped,"XS, XXL",Business,TALA,155.23,"Stylish Shoe in Winter tone with Striped pattern, suitable for business occasions.",Mixed,Gen Z
ASOS-UK-TOP-SS25-00008,Elegant Tops & T-shirt,Tops & T-shirts,Summery,Floral,"M, XXL",Everyday,Kat the Label,137.77,"Elegant Tops & T-shirt in Summery tone with Floral pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-JAC-SS25-00009,Stylish Jacket,Jackets,Autumn,Striped,"M, XS",Comfy,Arrange,160.34,"Stylish Jacket in Autumn tone with Striped pattern, suitable for comfy occasions.",Positive,Male
ASOS-UK-JAC-SS25-00010,Trendy Jacket,Jackets,Pastel,Abstract,"S, M, XS",Casual,Arrange,269.15,"Trendy Jacket in Pastel tone with Abstract pattern, suitable for casual occasions.",Mixed,Unisex
ASOS-UK-HAN-SS25-00011,Trendy Handbag,Handbags,Spring,Striped,"M, S",Business,Kat the Label,93.16,"Trendy Handbag in Spring tone with Striped pattern, suitable for business occasions.",Negative,Unisex
ASOS-UK-SHO-SS25-00012,Stylish Shoe,Shoes,Spring,Plain,"XS, XXL, XL, L",Holiday/Trip,TALA,304.02,"Stylish Shoe in Spring tone with Plain pattern, suitable for holiday/trip occasions.",Mixed,Gen Z
ASOS-UK-SHO-SS25-00013,Classic Shoe,Shoes,Autumn,Abstract,"M, XL",Comfy,TALA,76.1,"Classic Shoe in Autumn tone with Abstract pattern, suitable for comfy occasions.",Mixed,Gen Z
ASOS-UK-DRE-SS25-00014,Elegant Dresse,Dresses,Pastel,Plain,"XS, S",Activewear,Bimba y Lola,259.96,"Elegant Dresse in Pastel tone with Plain pattern, suitable for activewear occasions.",Mixed,Female
ASOS-UK-TOP-SS25-00015,Trendy Tops & T-shirt,Tops & T-shirts,Autumn,Striped,"M, S",Activewear,ASOS Design,57.43,"Trendy Tops & T-shirt in Autumn tone with Striped pattern, suitable for activewear occasions.",Mixed,Male
ASOS-UK-HAN-SS25-00016,Elegant Handbag,Handbags,Summery,Plain,"XS, L, M",Business,Reclaimed Vintage,61.99,"Elegant Handbag in Summery tone with Plain pattern, suitable for business occasions.",Mixed,Female
ASOS-UK-COA-SS25-00017,Classic Coat,Coats,Summery,Geometric,"XXL, M, L, XL",Comfy,Arrange,285.28,"Classic Coat in Summery tone with Geometric pattern, suitable for comfy occasions.",Negative,Gen Z
ASOS-UK-SHO-SS25-00018,Stylish Shoe,Shoes,Spring,Plain,"XXL, XS, L",Business,Kat the Label,316.72,"Stylish Shoe in Spring tone with Plain pattern, suitable for business occasions.",Mixed,Male
ASOS-UK-TRO-SS25-00019,Elegant Trouser,Trousers,Winter,Abstract,"S, M, L, XS",Comfy,Collusion,61.63,"Elegant Trouser in Winter tone with Abstract pattern, suitable for comfy occasions.",Positive,Millennials
ASOS-UK-COA-SS25-00020,Elegant Coat,Coats,Pastel,Plain,"M, XS",Party/Occasion Wear,Princess Polly,288.27,"Elegant Coat in Pastel tone with Plain pattern, suitable for party/occasion wear occasions.",Negative,Millennials
